	ИМЯ	ПОЛ	КАТЕГОРИЯ	ГОДЫ ЖИЗНИ	ЗНАКОМСТВО	Года в ПРОЗА	Года в СТИХ	Года в ПОЭМА	Года в ДРАМА	Года в СТИХ+ПРОЗА
73	Державин Гавриил Романович	М	Поэт	1743-1816	0	1975, 1984, 1990, 1992, 1998, 2001, 2003	1976	1982	1970, 2003	
74	Деррида Жак	М	Философ	1930-2004	0	1997	1981			
75	Джагаров Георгий	М	Поэт	1925-1987	1	1983	1968			
76	Джойс Джеймс	М	Писатель	1882-1941	0	1994, 1998		1963		
77	Джонс Джаспер	М	Художник	1930-н.в.	0	1990	1990			
78	Джульетта	Ж	Литературный персонаж	Неизвестно	0	1966	1962, 1963, 1975, 1993, 2002			
79	Дилан Боб	М	Музыкант, поэт	1941-н.в.	1	1971, 1984, 1992, 1998	2006			
80	Дмитриев Иван Иванович	М	Поэт	1760-1837	0	2003			1970	
81	Добрынкин	М	Историк	Неизвестно	0	1984		1979		
82	Довлатов Сергей Донатович	М	Писатель	1941-1990	0	1998			2000	
83	Достоевский Фёдор Михайлович	М	Писатель	1821-1881	0	1984, 1994, 1998, 2000, 2001	1981, 1986, 1989, 1990, 1994, 1999	1986, 1996		
84	Дункан Айседора	Ж	Танцовщица	1877-1927	0	1984, 1992, 2003	1981, 1984			
85	Евтушенко Евгений Александрович	М	Поэт	1932-2017	1	1973, 1976, 1983, 1984, 1987, 1998, 1999	1958, 2006			
86	Екатерина II Алексеевна	Ж	Историческая личность	1729-1796	0	1990	1971	1998	2003	
87	Елена Сергеевна	Ж	Педагог	Неизвестно	1	2010	1958			
88	Ельцин Борис Николаевич	М	Политический деятель	1931-2007	1	1999	2001	1999, 2007		
89	Ермолов Алексей Петрович	М	Военный деятель	1777-1861	0	1984		1979		
90	Есенин Сергей Александрович	М	Поэт	1895-1925	0	1976, 1981, 1984, 1987, 1990, 1992, 1994, 1998, 1999, 2000, 2003, 2006, 2009	1964, 1968, 1971, 1981, 1982, 1998	1977, 1999		
91	Ефремов Олег Николаевич	М	Актер	1927-2000	1	1984, 1990	2000			
92	Жак Виктор	М	Ректор	Неизвестно	1	1998	1973			
93	Жаров Александр Алексеевич	М	Поэт	1904-1984	0	1990	1973			
94	Жванецкий Михаил Михайлович	М	Писатель	1934-2020	1	1994	2003, 2004			
95	Живаго Юрий Андреевич	М	Литературный персонаж	Неизвестно	0	2000	1994, 2005			
96	Жуковский Василий Андреевич	М	Поэт	1783-1852	0	1984, 1990, 1998		1986		
